Expt,Location,PLOT,Pedigree
Plant Rows 2 Pt 1,Athens,2001,Check 1
Plant Rows 2 Pt 1,Athens,2002,Check 2
Plant Rows 2 Pt 1,Athens,2003,Check 3
Plant Rows 2 Pt 1,Athens,2004,Check 4
Plant Rows 2 Pt 1,Athens,2005,Check 5
Plant Rows 2 Pt 1,Athens,2006,G x O
Plant Rows 2 Pt 1,Athens,2007,G x O
Plant Rows 2 Pt 1,Athens,2008,G x O
Plant Rows 2 Pt 1,Athens,2009,G x O
Plant Rows 2 Pt 1,Athens,2010,G x O
Plant Rows 2 Pt 1,Athens,2011,G x O
Plant Rows 2 Pt 1,Athens,2012,G x O
Plant Rows 2 Pt 1,Athens,2013,G x O
Plant Rows 2 Pt 1,Athens,2014,G x O
Plant Rows 2 Pt 1,Athens,2015,G x O
Plant Rows 2 Pt 1,Athens,2016,G x O
Plant Rows 2 Pt 1,Athens,2017,G x O
Plant Rows 2 Pt 1,Athens,2018,G x O
Plant Rows 2 Pt 1,Athens,2019,G x O
Plant Rows 2 Pt 1,Athens,2020,G x O
Plant Rows 2 Pt 1,Athens,2021,G x O
Plant Rows 2 Pt 1,Athens,2022,G x O
Plant Rows 2 Pt 1,Athens,2023,G x O
Plant Rows 2 Pt 1,Athens,2024,G x O
Plant Rows 2 Pt 1,Athens,2025,G x O
Plant Rows 2 Pt 1,Athens,2026,G x O
Plant Rows 2 Pt 1,Athens,2027,G x O
Plant Rows 2 Pt 1,Athens,2028,G x O
Plant Rows 2 Pt 1,Athens,2029,G x O
Plant Rows 2 Pt 1,Athens,2030,G x O
Plant Rows 2 Pt 1,Athens,2031,G x O
Plant Rows 2 Pt 1,Athens,2032,G x O
Plant Rows 2 Pt 1,Athens,2033,G x O
Plant Rows 2 Pt 1,Athens,2034,G x O
Plant Rows 2 Pt 1,Athens,2035,G x O
Plant Rows 2 Pt 1,Athens,2036,G x O
Plant Rows 2 Pt 1,Athens,2037,G x O
Plant Rows 2 Pt 1,Athens,2038,G x O
Plant Rows 2 Pt 1,Athens,2039,G x O
Plant Rows 2 Pt 1,Athens,2040,G x O
Plant Rows 2 Pt 1,Athens,2041,G x O
Plant Rows 2 Pt 1,Athens,2042,G x O
Plant Rows 2 Pt 1,Athens,2043,G x O
Plant Rows 2 Pt 1,Athens,2044,G x O
Plant Rows 2 Pt 1,Athens,2045,G x O
Plant Rows 2 Pt 1,Athens,2046,G x O
Plant Rows 2 Pt 1,Athens,2047,G x O
Plant Rows 2 Pt 1,Athens,2048,G x O
Plant Rows 2 Pt 1,Athens,2049,G x O
Plant Rows 2 Pt 1,Athens,2050,G x O
Plant Rows 2 Pt 1,Athens,2051,G x O
Plant Rows 2 Pt 1,Athens,2052,G x O
Plant Rows 2 Pt 1,Athens,2053,G x O
Plant Rows 2 Pt 1,Athens,2054,G x O
Plant Rows 2 Pt 1,Athens,2055,G x O
Plant Rows 2 Pt 1,Athens,2056,G x O
Plant Rows 2 Pt 1,Athens,2057,G x O
Plant Rows 2 Pt 1,Athens,2058,G x O
Plant Rows 2 Pt 1,Athens,2059,G x O
Plant Rows 2 Pt 1,Athens,2060,G x O
Plant Rows 2 Pt 1,Athens,2061,G x O
Plant Rows 2 Pt 1,Athens,2062,G x O
Plant Rows 2 Pt 1,Athens,2063,G x O
Plant Rows 2 Pt 1,Athens,2064,G x O
Plant Rows 2 Pt 1,Athens,2065,G x O
Plant Rows 2 Pt 1,Athens,2066,G x O
Plant Rows 2 Pt 1,Athens,2067,G x O
Plant Rows 2 Pt 1,Athens,2068,G x O
Plant Rows 2 Pt 1,Athens,2069,G x O
Plant Rows 2 Pt 1,Athens,2070,G x O
Plant Rows 2 Pt 1,Athens,2071,G x O
Plant Rows 2 Pt 1,Athens,2072,G x O
Plant Rows 2 Pt 1,Athens,2073,G x O
Plant Rows 2 Pt 1,Athens,2074,G x O
Plant Rows 2 Pt 1,Athens,2075,G x O
Plant Rows 2 Pt 1,Athens,2076,G x O
Plant Rows 2 Pt 1,Athens,2077,G x O
Plant Rows 2 Pt 1,Athens,2078,G x O
Plant Rows 2 Pt 1,Athens,2079,G x O
Plant Rows 2 Pt 1,Athens,2080,G x O
Plant Rows 2 Pt 1,Athens,2081,G x O
Plant Rows 2 Pt 1,Athens,2082,G x O
Plant Rows 2 Pt 1,Athens,2083,G x O
Plant Rows 2 Pt 1,Athens,2084,G x O
Plant Rows 2 Pt 1,Athens,2085,G x O
Plant Rows 2 Pt 1,Athens,2086,G x O
Plant Rows 2 Pt 1,Athens,2087,G x O
Plant Rows 2 Pt 1,Athens,2088,G x O
Plant Rows 2 Pt 1,Athens,2089,G x O
